snapshot_date,product_url,product_title,sku,price_text,regular_price_text,sale_price_text,currency,stock_status,stock_quantity,category_path
2025-08-23,https://off-mar.ru/product/dyrokol-do-10-l-plastik-korpus-s-lineykoy-chernyy-zheltyy-monochrome-devente/,"Дырокол до 10 л., пластик. корпус, с линейкой, черный/желтый, MonoChrome deVENTE",M0000026888,"200,80руб.",,,RUB,,4,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-10-l-plastik-korpus-s-lineykoy-kauchuk-vstavka-assorti-pastel-devente-pastel/,"Дырокол до 10 л., пластик. корпус, с линейкой, каучук. вставка, ассорти пастель, deVENTE. Pastel",R0000082305,415руб.,,,RUB,,53,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-10-l-plastik-korpus-s-lineykoy-siniy-brauberg-original/,"Дырокол до 10 л., пластик. корпус, с линейкой, синий, BRAUBERG «Original»",R0000083764,44руб.,,,RUB,,19,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-20-l-metallicheskiy-s-lineykoy-chernyy-dolce-costo/,"Дырокол до 20 л. металлический, с линейкой, черный,  DOLCE COSTO",M0000020968,630руб.,,,RUB,,16,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-4-otverstiya-do-20-l-metall-korpus-chernyy-attomex/,"Дырокол 4 отверстия до 20 л., металл. корпус, черный, Attomex",M0000029164,122руб.,,,RUB,,33,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-30-l-metall-korpus-s-lineykoy-siniy-attache-symbol/,"Дырокол до 30 л., металл. корпус, с линейкой, синий,  Attache Symbol»",R0000090185,5 040руб.,,,RUB,,13,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-30-l-metall-korpus-s-lineykoy-siniy-berlingo-power-tx/,"Дырокол до 30 л., металл. корпус, с линейкой, синий, Berlingo «Power TX»",R0000082284,210руб.,,,RUB,,6,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-65-l-plastikovyy-korpus-s-lineykoy-chernyy-devente/,"Дырокол до 65 л., пластиковый  корпус, с линейкой, черный, deVENTE",K0000070928,247руб.,,,RUB,,24,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-20-l-metall-korpus-s-lineykoy-siniy-attomex/,"Дырокол до 20 л., металл. корпус, с линейкой, синий, Attomex",K0000076864,28руб.,,,RUB,,74,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/dyrokol-do-10-l-metall-korpus-s-lineykoy-siniy-lamark-mettallic/,"Дырокол до 10 л., металл. корпус, с линейкой, синий, LAMARK Mettallic",M0000030681,237руб.,,,RUB,,1,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
2025-08-23,https://off-mar.ru/product/nabor-dlya-dyrokola-bolshoy-moschnosti-devente-2-metproboynika4-plast-diska/,"Набор для дырокола большой мощности deVENTE , 2 мет.пробойника+4 пласт. диска",R0000084525,35руб.,,,RUB,,4,Главная > Канцелярские товары > Офисные принадлежности > Дыроколы
